"FOLIO","TIPO SERVICIO","ESTATUS","ZONA","FECHA SERVICIO","OPERADOR","TECNICO","COMPAÑIA","TIENDA","MARCA","MODELO","NUMERO DE SERIE","COMENTARIOS","COMENTARIOS","COMENTARIOS"
"202200","Tecnoservicio","Nueva","Local","2020-03-14","cristina","tecnico_ausente","otro","otro","proform","otro","","","LLAMAR 1 HORA ANTES DE IR / HORARIO DE 10 A 2/ REV $450/ LA BANDA DAÑADA",""
"202199","eComerce","Terminada","Local","2020-03-09","cristina","tecnico_ausente","otro","otro","otro","otro","","Venta #2348873566 | 7 de marzo de 2020 12:05 hs. |","Eliptica Pro-form 225 Cse 8 Programas 12 Niveles Resistencia $ 6750 PFEL02915",""
"202198","eComerce","Terminada","Local","2020-03-09","cristina","tecnico_ausente","otro","otro","otro","otro","","Venta #2348790658 | 7 de marzo de 2020 10:32 hs.","Bicicleta De Spinning Estructura Reforzada Nordictrack 2018 NTEX03917 $ 7990",""
"202197","Icon","Nueva","Foraneo","2020-03-12","maya","Merida-Gabriel Hernandez","liverpool","merida - 76","proform","PFTL49616-MX","","","",""
"202196","Icon","Nueva","Foraneo","2020-03-16","cristina","Aguascaliente- Jose Gomez","liverpool","f. f aguascalientes - 58","nordic track","NTEL05917","","","",""
"202195","Icon","Nueva","Foraneo","2020-03-11","cristina","Tepic-Antonio Ayon","liverpool","liverpool","proform","otro","","88 TEPIC","PFEL62919",""
"202194","Icon","Nueva","Foraneo","2020-03-11","victor","Morelia - Manuel Parrales","sears","morelia  paseo altozano - 237","proform","PFTL80916","","","",""
"202193","Icon","Nueva","Foraneo","2020-03-16","victor","ESPERA_DE_PARTES","liverpool","liverpool","nordic track","24860","MM641H1B00145","","",""
"202192","Icon","Nueva","Local","2020-03-17","Yuridia.Rivas","VICTOR","sears","cuautitlan -121","proform","","","pftl50717","",""
"202191","Tecnoservicio","Terminada","Local","2020-03-09","maya","tecnico_ausente","otro","otro","otro","otro","","","venta de banda de piso #350009 - $2800",""
"202190","Icon","Nueva","Local","2020-03-17","maya","VICTOR","liverpool","satelite - 4","weslo","WLTL29816","","","",""
