"2312",,"CHAI CH","1","t","t","124","1070","36670"
"2313",,"CHAI GDE","1","t","t","124","1070","36670"
"2314",,"CHAI FRIO CH","1","t","t","124","1070","36670"
"2315",,"CHAI FRIO GDE","1","t","t","124","1070","36670"
"2316",,"CHAI FRAPPE CH","1","t","t","124","1070","36670"
"2317",,"CHAI FRAPPE GDE","1","t","t","124","1070","36670"
"2321",,"CUERNO SOLO","1","t","t","125","1070","36624"
"2322",,"CUERNO PREPARADO","1","t","t","125","1070","36624"
"2235",,"REPOSTERIA","1","t","t","250","1070","36586"
"2323",,"SANDWICH","1","t","t","125","1070","36624"
"2324",,"CORBATIN","1","t","t","125","1070","36586"
"2325",,"PASTAS","1","t","t","125","1070","36586"
"2327",,"ESTRELLA","1","t","t","126","1070","36625"
"2328",,"CUBANA","1","t","t","126","1070","36625"
"2329",,"RUSA","1","t","t","126","1070","36625"
"2330",,"SUIZA","1","t","t","126","1070","36625"
"2331",,"TOLUQUEÑA","1","t","t","126","1070","36625"
"2332",,"TAHITIANA","1","t","t","126","1070","36625"
"2333",,"HAWAIANA","1","t","t","126","1070","36625"
"2334",,"ITALIANA","1","t","t","126","1070","36625"
"2335",,"QUESILLO","1","t","t","126","1070","36625"
"2336",,"PIERNA ADOBADA","1","t","t","126","1070","36625"
"2337",,"POLLO ADOBADO","1","t","t","126","1070","36625"
"2338",,"PIERNA","1","t","t","126","1070","36625"
"2339",,"MILANESA ","1","t","t","126","1070","36625"
"2930",,"1/4 PASTA SECA","1","t","f","238","1070","36586"
"2341",,"CHORIZO ","1","t","t","126","1070","36625"
"2342",,"JAMON ","1","t","t","126","1070","36625"
"2343",,"SALCHICHA ","1","t","t","126","1070","36625"
"2344",,"HUEVO ","1","t","t","126","1070","36625"
"2345",,"ING. EXTRA","1","t","t","126","1070","36625"
"3838",,"CHILES","1","t","t","480","1070","36586"
"2347",,"600 Y 700 ML.","1","t","t","124","1070","36688"
"2348",,"LATA","1","t","t","124","1070","36688"
"2349",,"AGUA EMB.","1","t","t","124","1070","36683"
"2326",,"FRUTA DESHIDRTADA CH","1","t","t","125","1070","36633"
"2320",,"AGUA","1","t","t","124","1070","36683"
"2372",,"FRUTA DESHIDRTADA GDE","1","t","t","125","1070","36633"
"2351",,"1/2 POLLO","1","t","t","127","1070","36388"
"2352",,"POLLO","1","t","t","127","1070","36388"
"2354",,"ROSTI PAPAS CH","1","t","t","127","1070","36607"
"2356",,"KACHY PAPAS CH","1","t","t","127","1070","36607"
"2355",,"ROSTI PAPAS GDE","1","t","t","127","1070","36607"
"2357",,"KACHY PAPAS GDE","1","t","t","127","1070","36607"
"2358",,"CHILES","1","t","t","127","1070","53138"
"2359",,"SALSA","1","t","t","127","1070","36650"
"2350",,"SALCHICHAS","1","t","t","127","1070","36433"
"2370",,"SALCHICHA 1/4","1","t","t","127","1070","36433"
"2381",,"Bola de queso","1","t","t","120","1070","36624"
"2353",,"PIERNA DE PAVO","1","t","t","127","1070","36390"
"2369",,"SALCHICHA 1/2","1","t","t","127","1070","36433"
"5683",,"Buñuelo Grande","1","t","t","557","1070","36586"
"2928",,"1/2 pollo","1","t","t","198","1070","36586"
"2929",,"1/2  pollo preparado","1","t","t","198","1070","36586"
"2931",,"1/4 pollo","1","t","t","198","1070","36586"
"2932",,"1/4 pollo preparado","1","t","t","198","1070","36586"
"2934",,"adobo","1","t","t","199","1070","36586"
"2935",,"Adobo/","1","t","t","194","1070","36586"
"2941",,"Albóndigas","1","t","t","199","1070","36586"
"2942",,"Albóndigas/","1","t","t","194","1070","36586"
"2945",,"alitas preparadas","1","t","t","198","1070","36586"
"4872",,"PEDIDOS","1","t","t","504","1070","36586"
"2957",,"America0","1","t","t","197","1070","36586"
"2958",,"Arroz/","1","t","t","194","1070","36586"
"2959",,"Arroz a la Mexicana","1","t","t","199","1070","36586"
"5360",,"GASTO","1","t","t","531",,
"2963",,"1/2 BAGUETTE REPOSADA","1","t","t","195",,
"2962",,"BAGUETTE  REPOSADA","1","t","t","195",,
"2982",,"Bizcochería","1","t","t","201","1070","36586"
"2955",,"ALPURA SEMI ","1","t","f","241","1070","36586"
"2986",,"BLANCO CH","1","t","t","244","1070","36586"
"2985",,"BIZCOCHO COMERCIAL","1","t","t","218","1070","36586"
"2984",,"BIZCOCHO","1","t","t","218","1070","36586"
"2983",,"BIZCOCHITO","1","t","t","218","1070","36586"
"2981",,"BISQUET RELLENO","1","t","t","236","1070","36586"
"2980",,"BESOS","1","t","t","219","1070","36586"
"2979",,"BATARD","1","t","t","232","1070","36586"
"2978",,"BARRITA B.","1","t","t","195","1070","36586"
"5355",,"ENSALADA TAHONA","1","t","t","523","1070","36633"
"2976",,"BARRA INTEGRAL","1","t","t","234","1070","36586"
"2975",,"BARRA F.","1","t","t","229","1070","36586"
"2974",,"BARRA DE MIL HOJAS","1","t","t","229","1070","36586"
"2972",,"BARQUILLO","1","t","t","225","1070","36586"
"2971",,"BANDERILLAS CAJA","1","t","t","245","1070","36586"
"2970",,"BANDERILLA ","1","t","t","223","1070","36586"
"2969",,"BANDA  3 F.","1","t","t","229","1070","36586"
"2968",,"BAGUETTE  VIENA","1","t","t","195","1070","36586"
"2967",,"BAGUETTE C","1","t","t","195","1070","36586"
"2966",,"BAGUETTE BORDOLESSE","1","t","t","195","1070","36586"
"2965",,"BAGUETTE 3/4","1","t","t","195","1070","36586"
"2964",,"BAGUETTE ","1","t","t","195","1070","36586"
"2951",,"ALPURA CLÁSICA ENT","1","t","f","241","1070","36586"
"2954",,"ALPURA PIÑA-COCO","1","t","f","241","1070","36586"
"2961",,"BAGEL","1","t","t","232","1070","36586"
"2960",,"AVENA Y NATA","1","t","t","232","1070","36586"
"2977",,"BARRITA CON AJONJOLI","1","t","t","195",,
"2948",,"ALPURA 2000","1","t","f","241","1070","36586"
"5408",,"Rosca Familiar","1","t","t","539","1070","36586"
"2952",,"ALPURA DESLAC","1","t","t","241","1070","36586"
"2950",,"ALPURA CLÁSICA","1","t","t","241","1070","36586"
"2947",,"ALMOHADAS","1","t","t","223","1070","36586"
"2946",,"ALMEJA","1","t","t","236","1070","36586"
"2944",,"ALEMAN F.","1","t","t","232","1070","36586"
"2943",,"ALEMAN 4","1","t","t","232","1070","36586"
"2940",,"ALAMARES","1","t","t","224","1070","36586"
"2939",,"AHUACATA","1","t","t","222","1070","36586"
"2938",,"AGUA FIEL 500 ML","1","t","t","241","1070","36586"
"2937",,"AGUA FIEL 1LT","1","t","t","241","1070","36586"
"2936",,"AGUA FIEL 1.500 ML","1","t","t","241","1070","36586"
"2933",,"ABANICOS","1","t","t","233","1070","36586"
"2926",,"1/2 BAGUETTE","1","t","t","195","1070","36586"
"2989",,"Bocadillos","1","t","t","196","1070","36586"
"5411",,"Vela","1","t","t","118","1070","27736"
"5437",,"PIERNA","1","t","t","541",,
"3023",,"CALAVERA MED","1","t","f","245","1070","36586"
"3000",,"Bollo Queso y Salami","1","t","t","201","1070","36586"
"3021",,"CALAVERA CHICA","1","t","f","245","1070","36586"
"3009",,"Buñuelos","1","t","t","194","1070","36586"
"3012",,"Caja de Galleta","1","t","t","201","1070","36586"
"3016",,"Calabacitas/","1","t","t","194","1070","36586"
"3017",,"Calabacitas c/cerdo","1","t","t","199","1070","36586"
"3024",,"Camote","1","t","t","194","1070","36586"
"3029",,"Capirotada/","1","t","t","194","1070","36586"
"3030",,"Capuchino","1","t","t","197","1070","36586"
"3031",,"Capuchino Late Chai","1","t","t","197","1070","36586"
"3032",,"Carga de Express","1","t","t","197","1070","36586"
"3035",,"Carnitas/","1","t","t","194","1070","36586"
"3040",,"Chapata","1","t","t","201","1070","36586"
"3042",,"Chapata bocadillo","1","t","t","201","1070","36586"
"3043",,"Chapata c/Salami","1","t","t","201","1070","36586"
"3044",,"Chapata de Bacalao","1","t","t","196","1070","36586"
"3045",,"Chapata de Romeritos","1","t","t","196","1070","36586"
"3019",,"CALAVERA #6","1","t","f","245","1070","36586"
"3047",,"Chicharrón","1","t","t","194","1070","36586"
"3048",,"Chile en Nogada/","1","t","t","194","1070","36586"
"3049",,"Chile Relle0","1","t","t","199","1070","36586"
"3050",,"Chile Relleno","1","t","t","194","1070","36586"
"3052",,"Chocolate Francés ","1","t","t","197","1070","36586"
"3053",,"Chocolate Mestizo","1","t","t","197","1070","36586"
"3062",,"Cochinita","1","t","t","194","1070","36586"
"3065",,"Codito","1","t","t","199","1070","36586"
"3066",,"Codito/","1","t","t","194","1070","36586"
"3068",,"comida","1","t","t","199","1070","36586"
"3020",,"CALAVERA DE AZUCAR","1","t","t","245","1070","36586"
"3075",,"Croissant Jamón","1","t","t","201","1070","36586"
"3076",,"Crush naranja","1","t","t","241","1070","36586"
"3088",,"Cuerno SC","1","t","t","201","1070","36586"
"3011",,"CAJA CARTÓN","1","t","f","228","1070","36586"
"3091",,"DANES I.","1","t","t","234","1070","36586"
"3090",,"DANES","1","t","t","220","1070","36586"
"3089",,"CUPCAKE","1","t","t","229","1070","36586"
"3087",,"CUERNO I.","1","t","t","234","1070","36586"
"3086",,"CUERNO BOCADILLO","1","t","t","220","1070","36586"
"3085",,"CUERNO 1 1/2","1","t","t","220","1070","36586"
"3084",,"CUERNO","1","t","t","220","1070","36586"
"3083",,"CUCHILLO DESECHABLE","1","t","t","228","1070","36586"
"3082",,"CUCHARAS Y TENEDORES","1","t","t","228","1070","36586"
"3081",,"CUBILETE Q.","1","t","t","236","1070","36586"
"3080",,"CUBILETE E.","1","t","t","236","1070","36586"
"3079",,"CUBILETE CON FRUTA","1","t","t","229","1070","36586"
"3078",,"CUBILETE CM.","1","t","t","236","1070","36586"
"3077",,"CUBILETE C.","1","t","t","236","1070","36586"
"3074",,"COSTAL","1","t","t","228","1070","36586"
"3073",,"CORRAL","1","t","t","223","1070","36586"
"3072",,"CONDE","1","t","t","233","1070","36586"
"3070",,"CONCHA GRANDE","1","t","t","218","1070","36586"
"3069",,"COMIDA","1","t","t","199","1070","36586"
"3067",,"COMEDORES","1","t","t","234","1070","36586"
"3064",,"COCOL I","1","t","t","234","1070","36586"
"3063",,"COCOL","1","t","t","222","1070","36586"
"3061",,"COCA COLA LIGHT","1","t","t","241","1070","36586"
"3060",,"COCA COLA LATA","1","t","t","241","1070","36586"
"2991",,"BOLILLITO","1","t","f","195","1070","36586"
"3058",,"COCA COLA 600 ML.","1","t","t","241","1070","36586"
"3057",,"COCA COLA 1 LT.","1","t","t","241","1070","36586"
"2994",,"BOLILLO,/TELERA MEDIANO","1","t","t","195","1070","36586"
"3055",,"CHURROS","1","t","t","237","1070","36586"
"3054",,"CHOUS","1","t","t","236","1070","36586"
"3051",,"CHINO","1","t","t","225","1070","36586"
"3041",,"CHAPATA B.","1","t","t","195","1070","36586"
"3039",,"CHAPATA .","1","t","t","195","1070","36586"
"3038",,"CHAPATA","1","t","t","195","1070","36586"
"3037",,"CENTENO","1","t","t","232","1070","36586"
"3036",,"CAZUELAS","1","t","t","233","1070","36586"
"3034",,"CARLOTAS","1","t","t","229","1070","36586"
"3033",,"CARIOCAS","1","t","t","233","1070","36586"
"3028",,"CANDLE PICK","1","t","t","228","1070","36586"
"3027",,"CANDELABRO","1","t","t","228","1070","36586"
"3026",,"CANASTAS","1","t","t","233","1070","36586"
"3025",,"CAMPECHANAS","1","t","t","223","1070","36586"
"2995",,"BOLLO ","1","t","f","195","1070","36586"
"3022",,"CALAVERA CHOCOLATE","1","t","t","245","1070","36586"
"2988",,"BOCADILLOS PREPARADOS","1","t","t","245","1070","36586"
