"62","**Nuevo tecnico (tec1)","-200","20/7/2016 16:55:45.310313+00","1","49","9"
"63","ARMADO","450","20/7/2016 16:55:45.316038+00","1","49","9"
"64","**Nuevo tecnico (tec1)","-200","20/7/2016 22:14:09.388759+00","1","50","9"
"65","**Nuevo tecnico (tec1)","-200","25/7/2016 16:19:09.930447+00","1","51","9"
"66","**Nuevo tecnico (tec1)","-200","25/7/2016 18:31:01.374754+00","1","52","9"
"67","**Nuevo tecnico (tec1)","-200","26/7/2016 18:03:44.362301+00","1","53","9"
"68","**Nuevo tecnico (tec1)","-200","28/7/2016 17:01:40.755451+00","1","54","9"
"69","Armado","550","28/7/2016 17:01:40.766661+00","1","54","9"
"70","**Nuevo tecnico (tec1)","-200","28/7/2016 18:45:43.612375+00","1","55","9"
"71","**Nuevo tecnico (tec1)","-200","28/7/2016 22:42:28.711973+00","1","56","9"
"72","**Nuevo tecnico (tec1)","-200","2/8/2016 23:24:01.803811+00","1","57","9"
"73","ARMADO","300","2/8/2016 23:24:01.828787+00","1","57","9"
"74","**Nuevo tecnico (LAZARO)","-200","3/8/2016 18:54:00.040479+00","1","58","9"
"75","mantenimiento -","650","3/8/2016 18:54:00.045657+00","1","58","9"
"76","**Orden de armado","333.5","16/8/2016 19:14:50.781531+00","1","59","9"
"77","**Nuevo tecnico (tec2)","-200","16/8/2016 19:14:50.788025+00","1","59","9"
"78","**Icon servicio","609","16/8/2016 19:44:55.822064+00","1","60","9"
"79","**Nuevo tecnico (tec2)","-200","16/8/2016 19:44:55.825174+00","1","60","9"
"80","**Orden de armado","333.5","16/8/2016 21:53:31.645183+00","1","61","9"
"81","**Nuevo tecnico (tec2)","-200","16/8/2016 21:53:31.648147+00","1","61","9"
"82","armado","600","16/8/2016 21:53:31.652773+00","1","61","9"
"83","**Icon servicio","609","17/8/2016 18:08:27.589646+00","1","62","9"
"84","**Nuevo tecnico (tec3)","-200","17/8/2016 18:08:27.592712+00","1","62","9"
"85","VENTA DE LLAVE","370","17/8/2016 18:08:27.59716+00","1","62","9"
"86","**Nuevo tecnico (Tecnoservicio)","-200","19/8/2016 17:07:47.695466+00","1","63","9"
"87","**Icon servicio","609","22/8/2016 16:23:19.181989+00","1","64","9"
"88","**Nuevo tecnico (tec2)","-200","22/8/2016 16:23:19.191814+00","1","64","9"
"89","**Nuevo tecnico (tec2)","-200","22/8/2016 16:41:30.556036+00","1","65","9"
"90","**Nuevo tecnico (foraneo1)","-200","22/8/2016 16:58:31.129226+00","1","66","9"
"91","**Nuevo tecnico (foraneo1)","-200","23/8/2016 16:02:53.906092+00","1","67","9"
"92","**Cambio de tecnico (foraneo1 a Tecnoservicio)","-200","23/8/2016 16:05:17.118979+00","1","67","9"
"93","**Nuevo tecnico (foraneo1)","-200","29/8/2016 21:25:22.002357+00","1","68","9"
"94","**Nuevo tecnico (LAZARO)","-200","2/9/2016 19:43:58.406066+00","1","69","9"
"95","REVISION","200","2/9/2016 19:43:58.423347+00","1","69","9"
"96","**Nuevo tecnico (tec2)","-200","2/9/2016 19:57:11.13067+00","1","70","9"
"97","ARMADO","220","2/9/2016 19:57:11.136181+00","1","70","9"
"98","**Nuevo tecnico (MERIDA)","-200","26/9/2016 17:03:15.485654+00","1","71","9"
"99","**Nuevo tecnico (LAZARO)","-200","26/9/2016 17:28:56.32944+00","1","72","9"
"100","MANTENIMIENTO","650","26/9/2016 17:28:56.334676+00","1","72","9"
"101","**Nuevo tecnico (tec2)","-200","26/9/2016 19:43:31.642904+00","1","73","9"
"102","**Nuevo tecnico (tec2)","-200","26/9/2016 19:47:38.039671+00","1","74","12"
"103","**Nuevo tecnico (tec2)","-200","26/9/2016 20:09:44.436702+00","1","75","12"
"104","**Nuevo tecnico (tec2)","-200","26/9/2016 20:11:45.462008+00","1","76","12"
"105","**Nuevo tecnico (tec2)","-200","26/9/2016 20:12:46.894885+00","1","77","12"
"106","**Nuevo tecnico (tec2)","-200","26/9/2016 20:15:51.569745+00","1","78","12"
"107","**Nuevo tecnico (tec2)","-200","26/9/2016 20:18:06.429607+00","1","79","12"
"108","**Nuevo tecnico (tec2)","-200","26/9/2016 20:24:04.886333+00","1","80","9"
"109","**Icon servicio","609","26/9/2016 20:25:49.403132+00","1","81","9"
"110","**Nuevo tecnico (tec2)","-200","26/9/2016 20:25:49.406131+00","1","81","9"
"111","CAMBIO DE RODILLO TRASERO","700","27/9/2016 17:08:35.905857+00","1","69","9"
"112","CAMBIO DE RODILLO TRASERO","700","27/9/2016 17:08:49.502898+00","1","69","9"
"113","**Nuevo tecnico (tec2)","-200","28/9/2016 22:42:55.973029+00","1","82","9"
"114","**Nuevo tecnico (tec2)","-200","28/9/2016 22:44:41.759579+00","1","83","9"
"115","**Nuevo tecnico (tec2)","-200","28/9/2016 22:46:25.392899+00","1","84","9"
"116","**Nuevo tecnico (tec2)","-200","28/9/2016 22:47:52.597244+00","1","85","9"
"117","**Nuevo tecnico (tec2)","-200","28/9/2016 22:56:03.965351+00","1","86","9"
"118","**Nuevo tecnico (tec2)","-200","28/9/2016 22:57:34.469954+00","1","87","9"
"119","**Nuevo tecnico (FORANEO)","-200","3/10/2016 16:10:58.600961+00","1","88","9"
"120","**Nuevo tecnico (tec2)","-200","3/10/2016 18:26:30.062098+00","1","89","9"
"121","**Nuevo tecnico (tec2)","-200","3/10/2016 18:30:14.688768+00","1","90","9"
"122","**Nuevo tecnico (tec2)","-200","3/10/2016 18:33:40.189571+00","1","91","9"
"123","**Orden de armado","333.5","3/10/2016 18:38:28.858958+00","1","92","9"
"124","**Nuevo tecnico (tec2)","-200","3/10/2016 18:38:28.861845+00","1","92","9"
"125","**Nuevo tecnico (tec2)","-200","4/10/2016 18:47:07.269483+00","1","93","9"
"126","**Nuevo tecnico (Tecnoservicio)","-200","4/10/2016 21:16:33.48401+00","1","94","9"
"127","**Cambio de tecnico (tec2 a LAZARO)","-200","4/10/2016 21:18:51.037983+00","1","93","9"
"128","**Nuevo tecnico (tec2)","-200","5/10/2016 18:52:48.227927+00","1","95","9"
"129","**Nuevo tecnico (FORANEO)","-200","7/10/2016 16:34:42.790582+00","1","96","9"
"130","**Nuevo tecnico (FORANEO)","-200","7/10/2016 19:32:39.942366+00","1","97","9"
"131","**Nuevo tecnico (tec2)","-200","10/10/2016 19:52:37.146413+00","1","98","9"
"132","**Nuevo tecnico (tec2)","-200","17/10/2016 15:40:42.036793+00","1","99","9"
"133","**Nuevo tecnico (FORANEO)","-200","19/10/2016 18:33:01.671474+00","1","100","9"
"134","**Nuevo tecnico (LAZARO)","-200","19/10/2016 18:37:58.016178+00","1","101","9"
"135","servicio","650","19/10/2016 18:37:58.034864+00","1","101","9"
