"443691","**Nuevo tecnico (VICTOR)","-200","2/8/2019 19:07:48.124565+00","13","136048","113"
"443690","**Orden de armado","333.5","2/8/2019 19:07:48.121187+00","13","136048","113"
"443689","**Nuevo tecnico (VICTOR)","-200","2/8/2019 19:04:17.889727+00","13","136047","113"
"443688","**Orden de armado","333.5","2/8/2019 19:04:17.886009+00","13","136047","113"
"443687","3 PACK LUBRIGYM","630","2/8/2019 19:00:54.433596+00","13","136046","113"
"443686","**Nuevo tecnico (tecnico_ausente)","-200","2/8/2019 19:00:54.427075+00","13","136046","113"
"443685","**Nuevo tecnico (Xalapa-Isau Marin)","-200","2/8/2019 18:57:22.886477+00","13","136045","113"
"443684","**Orden de armado","333.5","2/8/2019 18:57:22.882757+00","13","136045","113"
"443683","**Nuevo tecnico (VICTOR)","-200","2/8/2019 18:50:38.34733+00","13","136044","6"
"443682","**Orden de armado","333.5","2/8/2019 18:50:38.341862+00","13","136044","6"
"443681","**Nuevo tecnico (VICTOR)","-200","2/8/2019 18:50:20.331546+00","13","136043","99"
"443680","**Orden de armado","333.5","2/8/2019 18:50:20.327114+00","13","136043","99"
"443679","**Nuevo tecnico (tecnico_ausente)","-200","2/8/2019 18:40:27.114618+00","13","136042","6"
"443678","**Nuevo tecnico (ESPERA_DE_PARTES)","-200","2/8/2019 18:35:50.267768+00","13","136040","99"
"443677","**Orden Icon","609","2/8/2019 18:35:50.264917+00","13","136040","99"
"443676","**Nuevo tecnico (tecnico_ausente)","-200","2/8/2019 18:34:03.210786+00","13","136039","113"
"443675","**Nuevo tecnico (Monterrey - Cesar Rodriguez)","-200","2/8/2019 18:32:24.931077+00","13","136038","99"
"443674","**Icon revision","609","2/8/2019 18:32:24.926681+00","13","136038","99"
"443673","**Nuevo tecnico (tampico)","-200","2/8/2019 18:29:41.804973+00","13","136037","113"
"443672","**Orden de armado","333.5","2/8/2019 18:29:41.800719+00","13","136037","113"
"443671","2do Pago ","300","2/8/2019 18:29:27.637113+00","13","133835","11"
"443670","**Nuevo tecnico (Zacatecas - Luis Olvera)","-200","2/8/2019 18:10:10.513869+00","13","136036","6"
"443669","**Orden de armado","333.5","2/8/2019 18:10:10.510381+00","13","136036","6"
"443668","**Nuevo tecnico (VICTOR)","-200","2/8/2019 17:58:39.570567+00","13","136035","6"
"443667","**Orden de armado","333.5","2/8/2019 17:58:39.567579+00","13","136035","6"
"443666","**Nuevo tecnico (VICTOR)","-200","2/8/2019 17:57:19.318887+00","13","136034","6"
"443665","**Orden de armado","333.5","2/8/2019 17:57:19.315944+00","13","136034","6"
"443664","**Nuevo tecnico (amado)","-200","2/8/2019 17:45:00.515523+00","13","136033","6"
"443663","**Orden de armado","333.5","2/8/2019 17:45:00.512845+00","13","136033","6"
"443662","**Nuevo tecnico (VICTOR)","-200","2/8/2019 17:42:22.502659+00","13","136032","6"
"443661","**Orden de armado","333.5","2/8/2019 17:42:22.49965+00","13","136032","6"
"443660","**Nuevo tecnico (VICTOR)","-200","2/8/2019 17:42:00.736735+00","13","136031","6"
"443659","**Orden de armado","333.5","2/8/2019 17:42:00.734007+00","13","136031","6"
"443658","**Nuevo tecnico (VICTOR)","-200","2/8/2019 17:40:27.178177+00","13","136030","6"
"443657","**Orden de armado","333.5","2/8/2019 17:40:27.174281+00","13","136030","6"
"443656","**Nuevo tecnico (ESPERA_DE_PARTES)","-200","2/8/2019 17:39:59.810689+00","13","136029","99"
"443655","**Orden Icon","609","2/8/2019 17:39:59.805679+00","13","136029","99"
"443654","**Nuevo tecnico (VICTOR)","-200","2/8/2019 17:37:15.232385+00","13","136028","6"
"443653","**Orden de armado","333.5","2/8/2019 17:37:15.223443+00","13","136028","6"
"443652","**Nuevo tecnico (VICTOR)","-200","2/8/2019 17:24:16.6448+00","13","136027","113"
"443651","**Orden de armado","333.5","2/8/2019 17:24:16.640126+00","13","136027","113"
"443650","**Nuevo tecnico (VICTOR)","-200","2/8/2019 17:19:08.548681+00","13","136026","6"
"443649","**Orden de armado","333.5","2/8/2019 17:19:08.544586+00","13","136026","6"
"443648","**Nuevo tecnico (VICTOR)","-200","2/8/2019 17:12:54.303668+00","13","136025","6"
"443647","**Orden de armado","333.5","2/8/2019 17:12:54.300391+00","13","136025","6"
"443646","**Nuevo tecnico (VICTOR)","-200","2/8/2019 17:10:12.919592+00","13","136024","7"
"443645","**Orden de armado","333.5","2/8/2019 17:10:12.916802+00","13","136024","7"
"443644","**Nuevo tecnico (VICTOR)","-200","2/8/2019 17:07:49.524125+00","13","136023","7"
