"321124","2/8/2019 20:47:39.954664+00","regresaron el paquete el 01/08/19","131922","99"
"321123","2/8/2019 20:47:29.699336+00","lo entregan  hoy regresan la  llamada  ","135769","7"
"321122","2/8/2019 20:43:33.634948+00","Entregado el
Lunes
29/07/2019

Horario de entrega

en 17:51

Enviar actualizaciones
Entregado a
IRAPUATO, MX

Dejado en: Otro - liberado

Recibido por: CRISTIAN RM","134629","99"
"321121","2/8/2019 20:42:06.384905+00","Entregado el
Jueves
01/08/2019

Horario de entrega

en 10:15

Enviar actualizaciones
Entregado a
SALTILLO, MX

Dejado en: Recepción

Recibido por: MARTHA VEGA","127456","99"
"321120","2/8/2019 20:41:15.406212+00","regresaron el paquete el 01/08/19","134561","99"
"321119","2/8/2019 20:40:27.819185+00","Pftl79117. 0 kk120c0002726 solicitar pieza 54 y 45 la banda esta doblada de un costado esta marcada y el motor esta muy lento y subes la velocidad y sumba mucho el motor ","135947","88"
"321118","2/8/2019 20:33:16.596412+00","Se armó 2/8/19, PFTL34616.4/MM210C0202258","135901","49"
"321117","2/8/2019 19:03:26.133687+00","cliente cambio fecha para lunes 12 agosto ","135540","6"
"321116","2/8/2019 19:01:28.482365+00","PAGÓ EN MERCADO PAGO","136046","113"
"321115","2/8/2019 18:56:40.494596+00","Armado terminado N/S MM210C0201840
Queda funcionando correctamente ","135206","68"
"321114","2/8/2019 18:50:37.462934+00","no contesta el cliente, desvia la llamada de inmediato","135792","4"
"321113","2/8/2019 18:48:50.844493+00","Esta semana no se descuenta nada autoriza Oscar ","134270","11"
"321112","2/8/2019 18:44:10.791233+00","no se descuenta esta semana autoriza Oscar","134637","11"
"321111","2/8/2019 18:41:44.94519+00","ics nuevo 2 agosto ","135972","6"
"321110","2/8/2019 18:37:09.765372+00","esperar ics ","135972","6"
"321109","2/8/2019 18:34:24.485115+00","EN EL ULTIMO SERVICIO FUE SR VICENTE ","136039","113"
"321108","2/8/2019 18:33:52.814037+00","PORFAVOR REVISAR EQUIPO","136038","99"
"321107","2/8/2019 18:33:30.569409+00","ok instalado y funcionando","134473","48"
"321106","2/8/2019 18:32:25.830329+00","mm521h2b00175","135708","48"
"321105","2/8/2019 18:30:25.328185+00","2do pago 02 de Agosto $300 descontado de su semana ","133835","11"
"321104","2/8/2019 18:24:41.289121+00","mensaje","135542","48"
"321103","2/8/2019 18:18:16.479975+00","Se hablo con el cliente y se programo cita para armar el equipo el miércoles 7 de agosto.","134654","25"
"321102","2/8/2019 18:13:21.848142+00","confirmado con Adrián para el Lunes 05/08/19 cliente indica que el equipo está en el lugar de armado","136032","7"
"321101","2/8/2019 18:13:12.104435+00","confirmado con Adrián para el Lunes 05/08/19 cliente indica que el equipo está en el lugar de armado  ","136031","7"
