"1","sears"
"2","liverpool"
"3","walmart"
"4","sams"
"5","costco"
"6","chapur"
"7","city club"
"8","marti"
"9","wal mart"
"10","otro"
"11","weslo"
"12","liverpool ventas por telefono"
"13","liverpool ventas por internet"
"14","marti virtual"
"15","fabricas de francia"
